Plot,Soil_Depth_cm,CV_Soil_Depth,Soil_Moisture,N_ Min,Total_IN,NPP
11,5.0875,35.49667088,0.371102475,0.130039515,1.39591192,488
12,4.675,50.29175489,0.444781737,-0.004789971,1.996740093,168.25
13,7.65,36.38055344,0.402866262,0.147279533,1.388157187,169.5
14,6.925,50.00377008,0.26117198,0.165884464,0.665054972,180.25
15,6.65,47.12998144,0.386681595,0.122609959,1.07500417,194.75
16,5.925,44.86994392,0.321402176,0.302648843,1.0048588,162
17,7.65,47.26585851,0.403454359,0.193455413,1.305270207,189.25
18,3.2125,54.36183017,0.106036793,0.013274688,0.632632273,165.25
19,8.0625,62.6604339,0.397377411,0.160286218,0.952429389,146
21,7.8375,31.92297945,0.840451525,0.318384848,5.850399589,327
22,4.8625,53.91983247,0.574837583,0.045160886,3.491802589,316.75
23,7.3,49.38568547,0.634614141,0.179219223,6.476251589,667.75
24,6.45,65.01600675,0.527244681,0.012527303,1.585287689,315.5
25,8.2875,26.01923933,0.597498829,0.612923998,5.728441589,385.75
26,5.6625,44.11414492,0.848569765,0.059556465,1.335608608,238.5
27,7.5125,33.19361809,0.459949409,0.335863365,1.348745985,190.25
28,3.9375,41.95008886,0.516957162,0.144663204,1.298227149,203.5
29,8.575,76.17056975,0.439999138,0.053422616,1.167034161,216.75
31,8.7,42.50431998,0.718525195,0.196438422,1.564862255,356.75
32,5.9375,41.04715599,0.811519536,0.40206646,3.096667589,385.75
33,9.875,39.36455921,0.70945365,0.341270083,1.775934663,452
34,6.8625,50.24342266,0.764498501,0.28633866,1.792030123,428
35,7.8625,29.94326739,0.73977877,0.352360455,1.702674483,397
36,6.8625,46.5191071,1.29712617,0.154689692,1.109848344,173.75
37,7.9625,47.21074399,0.798073749,0.409397457,1.4692045,164.25
38,8.4375,51.91264765,1.23629026,0.204591673,1.462181528,261
39,7.3,34.51557756,1.219933093,0.202258234,1.545630688,112.5
41,9.225,43.40589951,0.303013425,0.188169636,1.522045068,320.75
42,6.875,49.55070865,0.373204686,0.099984481,1.387316292,226.25
43,7.0625,42.86674092,0.461828992,0.208561641,1.33872239,213.25
44,6.5375,59.67508917,0.373876362,0.317138801,1.290128487,263
45,6.075,26.53876615,0.506085965,0.170797535,0.929104383,186.5
46,5.6625,52.49806967,0.539042768,0.291779026,1.393960672,96.75
47,7.7,47.35746447,0.347490485,0.381368947,1.44718163,268
48,6.6375,63.13800315,0.514602952,0.196538847,1.217462318,102
49,7,40.93655761,0.499368504,0.253701854,1.053367431,133.75
51,9.0375,66.61343565,0.848569765,0.400611729,1.629836862,166.25
52,7.5,53.61354958,0.934836877,0.640887564,2.642335089,250.75
53,9.45,67.47639605,0.907618659,0.227864127,1.474837349,257
54,11.8875,51.44217821,0.908945587,0.287721547,1.662398228,398.5
55,9.1,69.02988472,0.857645378,0.336159423,1.736704441,223
56,7.45,59.1387957,0.774433966,0.223690805,1.024411951,206
57,6.725,83.68288428,0.641592368,0.032197152,0.689487075,110.5
58,6.3375,62.36770689,0.989998059,0.25629674,0.940922414,279.5
59,8.175,62.39303013,0.717546277,0.089625302,0.773458027,36.5
61,7.4125,35.45511504,1.161011987,0.536355919,2.618774589,574.5
62,5.2,62.98941934,0.710954489,0.395670338,1.257045687,221.5
63,13.8125,40.75562945,0.4038311,0.28224605,1.392149641,362.5
64,10.2875,45.63015651,0.828965843,0.300042998,1.588804613,271.5
65,9.5875,38.53524353,0.932725444,0.536939835,1.854323801,134.75
66,8.575,68.81948746,0.774194668,0.58295724,1.705953891,131.75
67,7.9,55.90950443,0.790443477,0.040685308,1.120792832,123
68,6.5,43.90876578,1.101798168,0.412010489,1.733521936,299.25
69,8.65,69.91796538,1.516370267,0.367644199,1.739203957,344
71,16.3625,27.3958448,1.748810131,0.318188595,1.826575905,510.5
72,13.7,34.25216995,1.4094312,0.080228839,1.21419464,392.5
73,15.3875,42.1748065,1.690240589,0.139155183,2.762808589,505.25
74,10.3125,29.27703803,1.656416987,0.461800651,1.881354777,695
75,10.7375,34.31250773,1.591132016,0.46289957,1.834890373,426.75
76,10.625,39.48697202,1.197501653,0.085002736,1.688653569,542.25
77,12.6375,46.07204998,1.230722225,0.29412526,1.34203363,352.75
78,20.725,52.10762622,1.129691037,0.210970943,1.501994688,284.75
79,9.6375,62.20227987,1.050145725,0.358750919,3.064817589,416.25
81,12.125,46.24601556,0.663551862,0.322002134,1.763949583,408.5
82,10.5125,50.01183972,0.665296861,0.228320701,1.138843589,177.5
83,12.2,30.73184956,0.677975325,0.361074701,1.561380589,300.75
84,9.475,42.81427319,0.718961127,0.521482687,3.898868089,349
85,13.4625,44.4955635,0.753449851,0.355416485,2.850002589,460.75
86,5.6625,40.9614871,0.860388286,0.405164666,2.088580878,196.5
87,8.95,58.1895077,0.948501135,0.128030323,3.002966589,296
88,6.0625,74.83923424,1.006131361,0.008229701,2.882236589,358.75
89,9.7,51.92497206,0.8614624,0.044908801,2.09570687,227.75
91,9.4375,36.82758941,3.308542738,0.529620782,10.56802459,546.75
92,10.1,56.04844968,2.887854601,0.058125674,5.378031589,558
93,15.05,39.86869163,2.677709037,-0.120977326,7.454665589,631.75
94,21,32.62612267,2.481838453,-0.141892272,7.156963589,785
95,14.2625,36.10490814,2.59159492,0.19340316,5.549311589,479.25
96,10.5875,60.48539425,3.800410461,0.287286187,7.122934589,691.25
97,14.0875,40.34370091,2.867416066,-0.052961218,5.511989589,339.25
98,15.2375,41.99715419,2.056149816,0.150331242,4.257485589,295.75
99,11.875,38.84587467,1.918481676,0.01746289,4.775350589,181
